sku,product_name,barcode,revenue,quantity,avg_unit_cost,total_cost,gross_margin,margin_pct,match_method,cost_vendor,cost_entries
BMLARDRLTM,Liz-ARD RL - The Meeting,,22.36,4,103.75,415.0,-392.64,-1756.0,exact_name,Monster Fish Outdoors,1
LL-19,Pro Ripper - Threadfin Shad,,21.98,2,222.0,444.0,-422.02,-1920.0,exact_name,Livingston Lures,1
CB-2,Create A Bait - Little Banger Blank,,21.98,4,225.0,900.0,-878.02,-3994.6,fuzzy_name,Weihai Runten Industrial Limited,8
LL-30,Livingston Lures Walk N Pop 77 - Gold Digger,,20.78,2,423.0,846.0,-825.22,-3971.2,fuzzy_name,Livingston Lures,1
ShallowSB-misc,Shallow Sunny B Misc,,19.9,2,609.29,1218.57,-1198.67,-6023.5,fuzzy_name,Northland Tackle,14
LL-23,School Master - Brown Craw,,17.99,1,372.0,372.0,-354.01,-1967.8,exact_name,Livingston Lures,1
LL-21,School Master - Blue Back Chrome Shad,,17.99,1,282.0,282.0,-264.01,-1467.5,exact_name,Livingston Lures,1
BMLARDRLTM$,Liz-ARD RL - Tennessee Money,,16.77,3,81.25,243.75,-226.98,-1353.5,exact_name,Monster Fish Outdoors,1
H-Black,Hellgrammite - Black,,16.0,4,74.2,296.8,-280.8,-1755.0,exact_name,EuroTackle,1
MB-BAITBAG-TPU,New MONSTERBASS Bait Bags,,15.98,2,7643.0,15286.0,-15270.02,-95557.1,exact_name,"Jinhua Jiafu Trade Co., Ltd.",1
CB-4,Create A Bait - Vicious Trapper Blank,,15.0,3,225.0,675.0,-660.0,-4400.0,fuzzy_name,Weihai Runten Industrial Limited,8
MBQ65-GPF,Quiver 6.5,,14.07,3,950.4,2851.2,-2837.13,-20164.4,fuzzy_name,A.N.E Wholesale,1
MBNB325-OGPC,Ned Bomb Orange Green Pumpkin Core,,14.07,3,760.32,2280.96,-2266.89,-16111.5,exact_name,A.N.E Wholesale,1
BMLARDXLGD,Liz-ARD XL - Goldman Duster,,13.41,3,238.75,716.25,-702.84,-5241.2,exact_name,Monster Fish Outdoors,1
784196803712,Ghillie grub - GP Purple,784196803712,13.18,2,1015.0,2030.0,-2016.82,-15302.1,UPC,3 Brothers Baits LLC,1
LL-29,Livingston Lures Walk N Pop 77 - Goby,,12.99,1,546.0,546.0,-533.01,-4103.2,fuzzy_name,Livingston Lures,1
LL-10,JerkMaster 121 - Brown Hitch,,12.99,1,87.0,87.0,-74.01,-569.7,exact_name,Livingston Lures,1
