sku,product_name,barcode,revenue,quantity
MBC-470MFC,LUNKERSTICK - Casting: 7' Medium - Moderate Fast,810103812895,3497.75,26
BL-BUZZ-3,Buzz Frog - 3 Pack,,3455.0,194
ABA-welcome,ABA Welcome Box,,3400.0,85
LB-C,DEBO's Little Banger - Crappie,810103812376,3377.12,338
platinum-1024,Platinum - Bass Every Other Month: October 2024,,3371.99,498
BURNERC-38-7,Blade Burner | Colorado Spinnerbait - LIMITED EDITION: Grape Ape,,3367.21,377
SK-BOX3,Strike King Topwater Blowup Box,,3355.0,86
mb-subscription-230100,The Best Fishing Subscription Box (that's not a subscription),,3268.0,86
OB3C76MH-K,"Omen Black Casting Rod - 7'6"" MH Casting Rod",,3258.82,26
winter-pass,Season Pass,,3245.0,22
LB-CB,Little Banger - Crackle Bluegill,810103812390,3239.64,330
platinum-0724-old,Pond Hopper Bait Box,,3157.0,77
BB-110JERK-CBB,Banger 110 - Chrome Black Back,,3155.49,351
FTB3C73M,"13 Fishing Fate Black Rod - 7'3"" M Casting Rod",,3119.61,39
304-006,Hi-Def Craw,,3032.52,768
SK-BOX1,Strike King 6-Pack Soft Bait Bundle,,3000.0,100
silver-0125,Silver Monthly: January 2025,,2975.0,149
FTB3C73MH,"13 Fishing Fate Black Rod - 7'3"" MH Casting Rod",,2959.63,37
FTB3C71M,"13 Fishing Fate Black Rod - 7'1"" M Casting Rod",,2959.63,37
platinum-quarterly,Platinum Series : Quarterly,,2888.0,76
season-pass-platinum,The Season Pass - Large,,2880.0,7
CBJH12-17,Member Exclusive: Berkley Warpig Lipless,,2785.32,228
silver-1024,Silver Monthly: October 2024,,2764.78,145
PROSTAFF-0624,Platinum: ProStaff,,2736.0,72
platinum-paid-monthly-12,Platinum Monthly Pass - Bass / 12 Months,,2694.45,71
KIT-NED,41 Piece Ned Rig Kit,,2691.0,69
SK-BOX2,Strike King Bass Bundle,,2660.0,70
platinum-paid-monthly,Platinum Monthly Pass - Bass / 1 Month,,2655.56,79
silver-1124,Silver Monthly: November 2024,,2620.0,131
Platinum-0825-old,Bank Fishing Blowup Box,,2608.0,58
CV2-KB-BM,"Cobra V2.0 Spinnerbait, Kunai Blade - Blue Magic",,2603.22,221
Rapt95FinCyaGrStd,9.5ft Raptor Modular Fin Drive Pedal Fishing Kayak | 380lbs Capacity | 2 Piece - Cyan Gray / in 1 - 2 weeks,,2548.0,2
CV2-KB-SF,"Cobra V2.0 Spinnerbait, Kunai Blade - Snek Flash",,2489.16,213
CV2-SF-KB-F,"Cobra V2.0 Spinnerbait, Kunai Blade - Flamingo",,2481.09,291
PLABW361J,Plano Weekend Series 3600 Tackle Bag,,2466.9,62
KIT-TOKYO,⚡ Take Cover. Take Control. The 41-Piece MONSTERBASS Tokyo Rig Kit! ⚡,,2445.0,43
KIT-FLIPPING,Dominate Heavy Cover with the 40-Piece MONSTERBASS Flipping & Pitching Kit! 🔥,,2435.0,45
silver-1224,Silver Slam Box,,2420.0,121
GP-PROTECT-1,Guaranteed Shipping Protection - Level 1,,2377.48,1213
GOLD-0224,Gold 6 Month: February 2024 - 6 Month,,2367.0,184
MB-SHHEAD-15-RUDDRED,Hammerhead Squarebill – Alex Rudd Edition - Rudd Red,656750686898,2277.25,274
platinum-0724-new,June 204,,2235.09,54
MB-3700,Monsterbox 3700,810103810594,2230.37,160
GUIDEPROTECTION-1,Guide Package Protection - $.98,,2210.88,2256
MB-CRAW-GPB,PB Craw - Green Pumpkin Blue Flake,,2136.07,606
CV2-KB-GM,"Cobra V2.0 Spinnerbait, Kunai Blade - Gold Mine",,2129.44,180
gold-quarterly,Gold Series: Quarterly,,2128.0,76
BB-110JERK-PBLUE,Banger 110 - Pro Blue,,2126.7,330
GOLD-0424,Gold 6 Month: April 2024,,2120.0,173
MB-3600,Monsterbox 3600,656750686751,2088.96,192
LCLDSS,"Custom Lite 6'10"" Spinning Rod",,2039.88,12
BB-110JERK-SSHAD,Banger 110 - Sexy Shad,,2031.76,226
10-20-GGS-10005F,Googan Squad Clickbait - Black/Blue,,2010.79,321
platinum-0325-old,Z-Man Essentials Box,,1960.0,49
PL00S,Quantum Pulse Casting Reel,,1943.75,60
mb-subscription-23806,Mystery Box of Tackle #823 - Gold,,1856.0,64
SSFROG-10018,June's Member Exclusive Topwater Bait,,1853.13,302
10-20-GGS-10005I,Googan Squad Clickbait - Green Pumpkin,,1821.51,499
silver-0325,Silver Monthly: March 2025,,1800.0,90
MB-ROLLO6-CPERCH,Rollo 6 - Chartreuse Perch,656750687352,1788.34,203
KIT-CAROLINA,Unlock the Power of the Carolina Rig – The 52-Piece MONSTERBASS Kit! 🎣,,1787.0,32
silver-0225-old,Dock Fishing Essentials,,1771.0,60
LL-35,Walking Boss II Magnum - Money Gill,,1753.8,125
CBCE38-01,CrossEyeZ Chatterbait - 3/8 oz / Pearl Ghost,,1730.98,173
LB-TSC,DEBO's Little Banger - Tequila Sunrise Craw,810103812369,1718.63,172
mb-gift-ms-1,Multi-Species: 1 month gift,,1710.0,45
LCLMBR,Custom Lite 7' MH Fast Casting Rod,,1699.9,10
KLA-6.2-3.0,Kalon A Spinning Reel,,1697.18,32
P413641LR,P4-13 Baitcast Reel - 6.4:1 / LH,,1659.0,21
R1175-4,March's Mystery Topwater 4-Pack,,1618.61,71
VKB-23R-MKIM1001-TS,Makana 100 - Tsunami Red / Impulse Drive,840022713645,1614.99,1
CCBR1,"Custom Speed Stick 7'2"" Casting - Crankbait Rod",,1599.9,10
Raid95PropGraBlStd,9.5ft Raider Modular Propeller Drive Pedal Fishing Kayak | 380lbs Capacity | 2 Piece - Gray Black / in 10 - 12 weeks,,1599.0,1
MB-CRAW-MC,PB Craw - California 420,,1574.23,352
MM-28,Mad Max v3.0 - Feeder Gill,,1570.85,183
