,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Blue Craw  UPC 810103811188,Accounts Payable (A/P),163.8,570189.7600000007
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Ghost Shad  UPC 810103811195,Accounts Payable (A/P),163.8,570353.5600000008
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Snacks  UPC 810103811201,Accounts Payable (A/P),163.8,570517.3600000008
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Orange Julius  UPC 810103811218,Accounts Payable (A/P),163.8,570681.1600000008
,Inventory Asset,01/30/2024,Bill,1940,Weihai Runten Industrial Limited,Seeker 6 - Crawlicious  UPC 810103811317,Accounts Payable (A/P),163.8,570844.9600000009
,Inventory Asset,01/30/2024,Bill,1936,Recertop Tech Co Limited,60mm Lipless - Sparky,Accounts Payable (A/P),2880,573724.9600000009
,Inventory Asset,01/30/2024,Bill,1936,Recertop Tech Co Limited,60mm Lipless - Sexiest Shad,Accounts Payable (A/P),1440,575164.9600000009
,Inventory Asset,01/30/2024,Bill,1936,Recertop Tech Co Limited,60mm Lipless - Zudweg Craw,Accounts Payable (A/P),2880,578044.9600000009
,Inventory Asset,01/30/2024,Bill,1936,Recertop Tech Co Limited,60mm Lipless - Perchinator,Accounts Payable (A/P),1440,579484.9600000009
,Inventory Asset,01/30/2024,Bill,1955,Packaging Corporation of America,Blue Box,Accounts Payable (A/P),4481.58,583966.5400000009
,Inventory Asset,02/01/2024,Inventory Starting Value,START,,BAG-12x10x2 - Opening inventory and value,Opening Balance Equity,0,583966.5400000009
,Inventory Asset,02/01/2024,Inventory Starting Value,START,,LB-C - Opening inventory and value,Opening Balance Equity,0,583966.5400000009
,Inventory Asset,02/01/2024,Inventory Starting Value,START,,LB-FT - Opening inventory and value,Opening Balance Equity,0,583966.5400000009
,Inventory Asset,02/01/2024,Inventory Starting Value,START,,LB-CB - Opening inventory and value,Opening Balance Equity,0,583966.5400000009
,Inventory Asset,02/16/2024,Bill,1967,Pradco Outdoors Brands,Smithwick Suspending Rogue-TIGER ROAN Jerkbait  UPC 49575001159,Accounts Payable (A/P),232.2,584198.7400000008
,Inventory Asset,02/16/2024,Bill,1967,Pradco Outdoors Brands,Smithwick Suspending Rogue-AVOCADO SHAD Jerkbait  UPC 49575004501,Accounts Payable (A/P),275.4,584474.1400000008
,Inventory Asset,02/16/2024,Bill,1967,Pradco Outdoors Brands,Smithwick Suspending Rogue-PURPLE DARTER Jerkbait  UPC 49575004532,Accounts Payable (A/P),1166.4,585640.5400000009
,Inventory Asset,02/16/2024,Bill,1967,Pradco Outdoors Brands,Smithwick Suspending Rogue-LADY  Jerkbait UPC 49575006826,Accounts Payable (A/P),1117.8,586758.3400000009
,Inventory Asset,02/16/2024,Bill,1967,Pradco Outdoors Brands,Smithwick Suspending Rogue-LEMON LIME CRSH  Jerkbait  UPC 49575006833,Accounts Payable (A/P),140.4,586898.7400000009
,Inventory Asset,02/16/2024,Bill,1967,Pradco Outdoors Brands,Smithwick Suspending Rogue-JUICE  Jerkbait  UPC 49575006840,Accounts Payable (A/P),739.8,587638.540000001
,Inventory Asset,02/16/2024,Bill,1967,Pradco Outdoors Brands,Smithwick Suspending Rogue-LACY TIGER  Jerkbait  UPC 49575007519,Accounts Payable (A/P),59.4,587697.940000001
,Inventory Asset,02/16/2024,Bill,1967,Pradco Outdoors Brands,Smithwick Suspending Rogue-LERCH  Jerkbait  UPC 49575007540,Accounts Payable (A/P),64.8,587762.740000001
,Inventory Asset,02/16/2024,Bill,1967,Pradco Outdoors Brands,Smithwick Suspending Rogue-CHR/BLUE BACK  Jerkbait  UPC 49575001210,Accounts Payable (A/P),124.2,587886.940000001
,Inventory Asset,02/20/2024,Bill,1961,"Shenzhen Chengxing Packing & Material Co., Ltd.",13x15x2 Polymailer,Accounts Payable (A/P),6243,594129.940000001
,Inventory Asset,03/01/2024,Inventory Starting Value,START,,1620-510 - Opening inventory and value,Opening Balance Equity,0,594129.940000001
,Inventory Asset,03/01/2024,Inventory Starting Value,START,,1677-610 - Opening inventory and value,Opening Balance Equity,0,594129.940000001
,Inventory Asset,03/01/2024,Inventory Starting Value,START,,1608-550 - Opening inventory and value,Opening Balance Equity,0,594129.940000001
,Inventory Asset,03/01/2024,Inventory Starting Value,START,,PBJ-MISC - Opening inventory and value,Opening Balance Equity,0,594129.940000001
,Inventory Asset,03/01/2024,Inventory Starting Value,START,,SS-MISC - Opening inventory and value,Opening Balance Equity,0,594129.940000001
,Inventory Asset,03/04/2024,Bill,1964,V&M,5/16 oz. Black/Red Skipping Jig,Accounts Payable (A/P),1062.5,595192.440000001
,Inventory Asset,03/04/2024,Bill,1964,V&M,7/16 oz. Black/Red Skipping Jig,Accounts Payable (A/P),732.5,595924.940000001
,Inventory Asset,03/04/2024,Bill,1964,V&M,5/16 oz. Tequila Skipping Jig,Accounts Payable (A/P),937.5,596862.440000001
,Inventory Asset,03/04/2024,Bill,1964,V&M,7/16 oz. Tequila Skipping Jig,Accounts Payable (A/P),1267.5,598129.940000001
,Inventory Asset,03/04/2024,Bill,1964,V&M,3/8 oz. Threadfin Shad Swim Jig,Accounts Payable (A/P),750,598879.940000001
,Inventory Asset,03/04/2024,Bill,1964,V&M,3/8 oz. Threadfin Shad Swim Jig,Accounts Payable (A/P),375,599254.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"4"" Muscle Back Craw, Perch",Accounts Payable (A/P),432,599686.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"4"" Muscle Back Craw, Houdini",Accounts Payable (A/P),233,599919.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"3.25"" Muscle Back Finesse Craw, Sprayed Grass",Accounts Payable (A/P),486,600405.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"3.25"" Muscle Back Finesse Craw, Pearl",Accounts Payable (A/P),346,600751.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"3.5"" Punisher Punch Craw, Green Pumpkin Purple Green",Accounts Payable (A/P),523,601274.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"3.5"" Punisher Punch Craw, Black Blue Lam",Accounts Payable (A/P),10,601284.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"4"" Adrenaline Bug, Green Pumpkin Purple Green",Accounts Payable (A/P),155,601439.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"4"" Adrenaline Bug, California 420",Accounts Payable (A/P),433,601872.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"4"" Adrenaline Bug, Black Blue Lam",Accounts Payable (A/P),129,602001.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"4"" Adrenaline Bug, Black Red Flake",Accounts Payable (A/P),27,602028.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"3.5"" Adrenaline Bug Jr, Border Craw",Accounts Payable (A/P),355,602383.940000001
,Inventory Asset,03/07/2024,Bill,1978,VRX Fishing Products,"3.5"" Adrenaline Bug Jr, Purple Shadow",Accounts Payable (A/P),426,602809.940000001
,Inventory Asset,03/25/2024,Bill,1973,O Mustad & Sons,Mustad Arm Lock Double Willow Spinnerbait  COLOR: Wakasagi,Accounts Payable (A/P),979.2,603789.140000001
,Inventory Asset,03/25/2024,Bill,1973,O Mustad & Sons,Mustad Arm Lock Double Willow Spinnerbait  COLOR: Ayu,Accounts Payable (A/P),973.76,604762.900000001
,Inventory Asset,03/25/2024,Bill,1973,O Mustad & Sons,Mustad Arm Lock Double Willow Spinnerbait   COLOR: Chartreuse & White,Accounts Payable (A/P),489.6,605252.5000000009
,Inventory Asset,03/25/2024,Bill,1973,O Mustad & Sons,Mustad Arm Lock Double Willow Spinnerbait  COLOR: Orange & Gold,Accounts Payable (A/P),979.2,606231.7000000009
,Inventory Asset,03/25/2024,Bill,1973,O Mustad & Sons,Mustad Arm Lock Double Willow Spinnerbait  COLOR: Lime & Chartreuse,Accounts Payable (A/P),979.2,607210.9000000008
,Inventory Asset,03/25/2024,Bill,1973,O Mustad & Sons,Mustad Arm Lock Double Willow Spinnerbait  COLOR: Black & Orange,Accounts Payable (A/P),979.2,608190.1000000008
,Inventory Asset,03/25/2024,Bill,1969,Trophy Technologies,Castaic Atlas Spinnerbait 3/8oz Chartreuse White Gold Blade,Accounts Payable (A/P),3400,611590.1000000008
,Inventory Asset,03/25/2024,Bill,1969,Trophy Technologies,Castaic RC Hammer Football Jig 1/4oz Watermelon,Accounts Payable (A/P),980.05,612570.1500000008
,Inventory Asset,03/25/2024,Bill,1969,Trophy Technologies,Castaic RC Hammer Football Jig 1/2oz Orange Craw,Accounts Payable (A/P),680,613250.1500000008
,Inventory Asset,03/25/2024,Bill,1969,Trophy Technologies,Castaic RC Hammer Football Jig 1/4oz Black Blue,Accounts Payable (A/P),489.6,613739.7500000008
,Inventory Asset,03/27/2024,Bill,1976,GSM Outdoors,"6.5"" Airtail WigglerColor: Green PumpkinAdd ScentQty per bag: 10  UPC: 876716002221",Accounts Payable (A/P),770,614509.7500000008
,Inventory Asset,03/27/2024,Bill,1976,GSM Outdoors,"6.5"" Airtail WigglerColor: June BugAdd ScentQty per bag: 10   UPC: 876716002450",Accounts Payable (A/P),770,615279.7500000008
,Inventory Asset,03/27/2024,Bill,1976,GSM Outdoors,"6.5"" Airtail WigglerColor: Watermelon Red FlakeAdd ScentQty per bag: 10   UPC: 876716002245",Accounts Payable (A/P),770,616049.7500000008
,Inventory Asset,03/27/2024,Bill,1976,GSM Outdoors,"6.5"" Airtail WigglerColor: Black Blue FlakeAdd ScentQty per bag: 10   UPC: 876716003389",Accounts Payable (A/P),770,616819.7500000008
,Inventory Asset,03/27/2024,Bill,1976,GSM Outdoors,"6.5"" Airtail WigglerColor: Red BugAdd ScentQty per bag: 10  UPC: 876716002276",Accounts Payable (A/P),770,617589.7500000008
,Inventory Asset,03/27/2024,Bill,1976,GSM Outdoors,"6.5"" Airtail WigglerColor: Trophy HunterAdd ScentQty per bag: 10  UPC: 876716002238",Accounts Payable (A/P),770,618359.7500000008
,Inventory Asset,03/27/2024,Bill,1976,GSM Outdoors,"6.5"" Airtail WigglerColor: SsabednargAdd ScentQty per bag: 10  UPC: 876716003372",Accounts Payable (A/P),770,619129.7500000008
,Inventory Asset,03/27/2024,Bill,1976,GSM Outdoors,"6.5"" Airtail WigglerColor: Ballistic BluegillAdd ScentQty per bag: 10  UPC: 876716003396",Accounts Payable (A/P),770,619899.7500000008
,Inventory Asset,03/29/2024,Bill,1990,Pradco Outdoors Brands,"Yum 4.5"" Christie Critter Green Pumpkin    Creatures & Craws",Accounts Payable (A/P),2250,622149.7500000008
,Inventory Asset,04/01/2024,Bill,Coastal Sports,Maximus Outdoors,"Ocho 7"" - Watermelon",Accounts Payable (A/P),578,622727.7500000008
,Inventory Asset,04/01/2024,Bill,Coastal Sports,Maximus Outdoors,"Ocho 7"" - Green Pumpkin",Accounts Payable (A/P),777,623504.7500000008
,Inventory Asset,04/01/2024,Bill,Coastal Sports,Maximus Outdoors,"Ocho 7"" - Blue Craw",Accounts Payable (A/P),2195,625699.7500000008
,Inventory Asset,04/01/2024,Bill,Coastal Sports,Maximus Outdoors,"Ocho 7"" - Tequila",Accounts Payable (A/P),2379,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,ARB1235 - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,SW-WR - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,SW-GP - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,SW-TS - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,HCRAWZ-MISC - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,MLF-GF-C - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,MLF-GF-W - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,MLF-EWW - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,MLF-900 - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,MLF-901 - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/01/2024,Inventory Starting Value,START,,MLF-902 - Opening inventory and value,Opening Balance Equity,0,628078.7500000008
,Inventory Asset,04/11/2024,Bill,1983,GSM Outdoors,"5.25"" Airtail Shaky Stick, Color: Green Pumpkin, Add Scent Qty per bag: 8  UPC 876716005819",Accounts Payable (A/P),1004.64,629083.3900000008
,Inventory Asset,04/11/2024,Bill,1983,GSM Outdoors,"5.25"" Airtail Shaky Stick, Color: Trophy Hunter, Add Scent Qty per bag: 8  UPC 876716005840",Accounts Payable (A/P),1004.64,630088.0300000008
,Inventory Asset,04/11/2024,Bill,1983,GSM Outdoors,"5.25"" Airtail Shaky Stick, Color: Black Blue Flk, Add Scent Qty per bag: 8  UPC 876716005833",Accounts Payable (A/P),1004.64,631092.6700000009
,Inventory Asset,04/11/2024,Bill,1983,GSM Outdoors,"5.25"" Airtail Shaky Stick, Color: Watermelon Red Flk, Add Scent Qty per bag: 8  UPC 876716005857",Accounts Payable (A/P),1004.64,632097.3100000009
,Inventory Asset,04/11/2024,Bill,1983,GSM Outdoors,"5.25"" Airtail Shaky Stick, Color: June Bug, Add Scent Qty per bag: 8  UPC 876716005826",Accounts Payable (A/P),1004.64,633101.9500000009
,Inventory Asset,04/11/2024,Bill,1983,GSM Outdoors,"5.25"" Airtail Shaky Stick, Color: Magic Grass, Add Scent Qty per bag: 8  UPC 876716005956",Accounts Payable (A/P),1004.64,634106.5900000009
,Inventory Asset,04/11/2024,Bill,1983,GSM Outdoors,"5.25"" Airtail Shaky Stick, Color: Baby Bass, Add Scent Qty per bag: 8  UPC 876716005918",Accounts Payable (A/P),1004.64,635111.2300000009
,Inventory Asset,04/11/2024,Bill,1983,GSM Outdoors,"5.25"" Airtail Shaky Stick, Color: Shad Spawn, Add Scent Qty per bag: 8  UPC 876716005888",Accounts Payable (A/P),1004.64,636115.8700000009
,Inventory Asset,04/11/2024,Bill,1983,GSM Outdoors,"5.25"" Airtail Stick, Color: Ssabednarg, Add Scent, Qty per bag: 8UPC 876716006427",Accounts Payable (A/P),4830,640945.8700000009
,Inventory Asset,04/17/2024,Bill,1989,Pradco Outdoors Brands,SMK Susp Rogue-Threadfin Shad   Jerkbait   UPC 49575004525  UPC 49575006802,Accounts Payable (A/P),117,641062.8700000009
,Inventory Asset,04/17/2024,Bill,1989,Pradco Outdoors Brands,SMK Susp Rogue-Golden Shiner   Jerkbait   UPC 49575006802,Accounts Payable (A/P),1366.2,642429.0700000009
,Inventory Asset,04/17/2024,Bill,1989,Pradco Outdoors Brands,Smithwick Suspending Rogue-LEMON LIME CRSH  Jerkbait  UPC 49575006833,Accounts Payable (A/P),646.2,643075.2700000008
,Inventory Asset,04/17/2024,Bill,1989,Pradco Outdoors Brands,SMK Susp Rogue-Gold Rogue   Jerkbait   UPC 49575006802,Accounts Payable (A/P),181.8,643257.0700000009
,Inventory Asset,04/17/2024,Bill,1989,Pradco Outdoors Brands,SMK Susp Rogue-ClownUPC 049575412351,Accounts Payable (A/P),1866.6,645123.6700000009
,Inventory Asset,04/18/2024,Bill,1982,GSM Outdoors,"3.75"" Baby Rattlesnake, Color: Trophy Hunter, Add Salt & Scent Qty per bag: 10  UPC 876716000494",Accounts Payable (A/P),555,645678.6700000009
,Inventory Asset,04/18/2024,Bill,1982,GSM Outdoors,"3.75"" Baby Rattlesnake, Color: Watermelon Red Flk, Add Salt & Scent, Qty per bag: 10  UPC 876716000470",Accounts Payable (A/P),555,646233.6700000009
,Inventory Asset,04/18/2024,Bill,1982,GSM Outdoors,"3.75"" Baby Rattlesnake, Color: Green Pumpkin, Add Salt & Scent Qty per bag: 10 UPC 876716002122",Accounts Payable (A/P),555,646788.6700000009
,Inventory Asset,04/18/2024,Bill,1982,GSM Outdoors,"3.75"" Baby Rattlesnake, Color: Ssabednarg, Add Salt & ScentQty per bag: 10 UPC 876716000449",Accounts Payable (A/P),555,647343.6700000009
,Inventory Asset,04/18/2024,Bill,1982,GSM Outdoors,"3.75"" Baby Rattlesnake, Color: Blue Flk, Add Salt & Scent Qty per bag: 10  UPC 876716000456",Accounts Payable (A/P),555,647898.6700000009
,Inventory Asset,04/18/2024,Bill,1982,GSM Outdoors,"3.75"" Baby Rattlesnake, Color: Chartreuse Pepper, Add Salt & Scent Qty per bag: 10  UPC 876716000500",Accounts Payable (A/P),555,648453.6700000009
,Inventory Asset,04/18/2024,Bill,1982,GSM Outdoors,"3.75"" Baby Rattlesnake, Color: June Bug, Add Salt & Scent Qty per bag: 10  UPC 876716000524",Accounts Payable (A/P),555,649008.6700000009
,Inventory Asset,04/18/2024,Bill,1982,GSM Outdoors,"3.75"" Baby Rattlesnake, Color: Ballistic Bluegill, Add Salt & Scent Qty per bag: 10  UPC 876716003679",Accounts Payable (A/P),555,649563.6700000009
,Inventory Asset,04/18/2024,Bill,1981,GSM Outdoors,"4.75"" Rattlesnake, Color: Trophy Hunter, Add Salt & Scent, Qty per bag: 8 UPC 876716000197",Accounts Payable (A/P),887.5,650451.1700000009
,Inventory Asset,04/18/2024,Bill,1981,GSM Outdoors,"4.75"" Rattlesnake, Color: Green Pumpkin, Add Salt & Scent, Qty per bag: 8  UPC 876716000173",Accounts Payable (A/P),887.5,651338.6700000009
,Inventory Asset,04/18/2024,Bill,1981,GSM Outdoors,"4.75"" Rattlesnake, Color: Black Blue Flk, Add Salt & Scent, Qty per bag: 8  UPC 876716000401",Accounts Payable (A/P),887.5,652226.1700000009
,Inventory Asset,04/18/2024,Bill,1981,GSM Outdoors,"4.75"" Rattlesnake, Color: Ssabednarg, Add Salt & Scent, Qty per bag: 8  UPC 876716000159",Accounts Payable (A/P),887.5,653113.6700000009
,Inventory Asset,04/18/2024,Bill,1981,GSM Outdoors,"4.75"" Rattlesnake, Color: Watermelon Red Flk, Add Salt & Scent, Qty per bag: 8 UPC 876716000142",Accounts Payable (A/P),887.5,654001.1700000009
,Inventory Asset,04/18/2024,Bill,1981,GSM Outdoors,"4.75"" Rattlesnake, Color: Blue Flk, Add Salt & Scent, Qty per bag: 8  UPC 876716000166",Accounts Payable (A/P),887.5,654888.6700000009
,Inventory Asset,04/18/2024,Bill,1981,GSM Outdoors,"4.75"" Rattlesnake, Color: June Bug, Add Salt & Scent, Qty per bag: 8  UPC 876716000272",Accounts Payable (A/P),887.5,655776.1700000009
,Inventory Asset,04/18/2024,Bill,1981,GSM Outdoors,"4.75"" Rattlesnake, Color: Ballistic Bluegill, Add Salt & Scent, Qty per bag: 8 UPC 876716003648",Accounts Payable (A/P),887.5,656663.6700000009
,Inventory Asset,04/23/2024,Bill,1984,GSM Outdoors,"5"" Rattlesnake'o, Color: Trophy Hunter Add Salt & Scent, Qty per bag: 8  UPC 876716000739",Accounts Payable (A/P),954.72,657618.3900000008
,Inventory Asset,04/23/2024,Bill,1984,GSM Outdoors,"5"" Rattlesnake'o, Color: Black Blue Flk, Add Salt & Scent Qty per bag: 8  UPC 876716000760",Accounts Payable (A/P),954.72,658573.1100000008
,Inventory Asset,04/23/2024,Bill,1984,GSM Outdoors,"5"" Rattlesnake'o, Color: Green Pumpkin, Add Salt & Scent Qty per bag: 8  UPC 876716000685",Accounts Payable (A/P),954.72,659527.8300000008
,Inventory Asset,04/23/2024,Bill,1984,GSM Outdoors,"5"" Rattlesnake'o, Color: Watermelon Red Flk, Add Salt & Scent Qty per bag: 8 UPC 876716000678",Accounts Payable (A/P),954.72,660482.5500000007
,Inventory Asset,04/23/2024,Bill,1984,GSM Outdoors,"5"" Rattlesnake'o, Color: Ballistic Bluegill, Add Salt & Scent Qty per bag: 8 UPC 876716002184",Accounts Payable (A/P),954.72,661437.2700000007
,Inventory Asset,04/23/2024,Bill,1984,GSM Outdoors,"5"" Rattlesnake'o, Color: June Bug, Add Salt & Scent Qty per bag: 8  UPC 876716000692",Accounts Payable (A/P),954.72,662391.9900000007
,Inventory Asset,04/23/2024,Bill,1984,GSM Outdoors,"5"" Rattlesnake'o, Color: Chartreuse Pepper, Add Salt & Scent Qty per bag: 8  UPC 876716002160",Accounts Payable (A/P),954.72,663346.7100000007
,Inventory Asset,04/23/2024,Bill,1984,GSM Outdoors,"5"" Rattlesnake'o, Color: Red Bug, Add Salt & Scent Qty per bag:   UPC 876716000715",Accounts Payable (A/P),954.72,664301.4300000006
